Model,Accuracy,Sensitivity,Specificity,AUROC,ORP FPR,ORP TPR
Logistic Regression,0.84 ± 0.04,0.81 ± 0.11,0.85 ± 0.02,0.89 ± 0.04,0.15 ± 0.05,0.86 ± 0.04
Logistic Regression,0.8 ± 0.09,0.79 ± 0.12,0.81 ± 0.11,0.81 ± 0.08,0.21 ± 0.1,0.79 ± 0.12
SVM,0.87 ± 0.04,0.94 ± 0.02,0.85 ± 0.05,0.95 ± 0.02,0.09 ± 0.02,0.91 ± 0.03
SVM,0.75 ± 0.1,0.83 ± 0.15,0.72 ± 0.15,0.82 ± 0.08,0.26 ± 0.08,0.76 ± 0.08
Random Forest,0.84 ± 0.01,0.81 ± 0.09,0.85 ± 0.02,0.92 ± 0.02,0.16 ± 0.03,0.84 ± 0.05
Random Forest,0.8 ± 0.06,0.69 ± 0.12,0.84 ± 0.05,0.85 ± 0.07,0.15 ± 0.07,0.83 ± 0.01
Linear Discriminant Analysis,0.86 ± 0.02,0.87 ± 0.04,0.86 ± 0.02,0.91 ± 0.02,0.12 ± 0.06,0.87 ± 0.04
Linear Discriminant Analysis,0.75 ± 0.08,0.83 ± 0.15,0.73 ± 0.1,0.85 ± 0.08,0.15 ± 0.07,0.86 ± 0.13
XGBoost,0.88 ± 0.01,0.81 ± 0.02,0.89 ± 0.02,0.91 ± 0.01,0.17 ± 0.03,0.85 ± 0.02
XGBoost,0.78 ± 0.05,0.65 ± 0.11,0.81 ± 0.05,0.78 ± 0.08,0.32 ± 0.12,0.69 ± 0.08
